
============================================================
compandit library quikie program
M. A. Chatterjee (c) 2012

These routines were developed for use on embedded projects
for more info see the accompanying compand.txt

 index   wave  actDCbias  calcDCbias  calcDCbias(f) alaw
   669   1918     1923       1928      1928.6875      85
   670   1920     1923       1928      1928.6406      85
   671   1922     1923       1928      1928.6094      85
   672   1924     1923       1928      1928.5781      85
   673   1926     1923       1928      1928.5625      85
   674   1928     1923       1928      1928.5469     -43
   675   1930     1923       1928      1928.5469     -43
   676   1932     1923       1928      1928.5469     -43
   677   1934     1923       1928      1928.5625     -43
   678   1936     1923       1928      1928.5781     -43
   679   1938     1923       1928      1928.6094     -43
   680   1940     1923       1928      1928.6406     -43
   681   1942     1923       1928      1928.6875     -43
   682   1944     1923       1928      1928.7344     -44
   683   1946     1923       1928      1928.7969     -44
   684   1948     1923       1928      1928.8594     -44
   685   1950     1923       1928      1928.9375     -44
   686   1952     1923       1929      1929.0156     -44
   687   1954     1923       1929      1929.1094     -44
   688   1956     1923       1929      1929.2031     -44
   689   1958     1923       1929      1929.3125     -44
   690   1960     1923       1929      1929.4219     -44
   691   1962     1923       1929      1929.5469     -41
   692   1964     1923       1929      1929.6719     -41
   693   1966     1923       1929      1929.8125     -41
   694   1968     1923       1929      1929.9531     -41
   695   1970     1923       1930      1930.1094     -41
   696   1972     1923       1930      1930.2656     -41
   697   1974     1923       1930      1930.4219     -41
   698   1976     1923       1930      1930.5938     -41
   699   1978     1923       1930      1930.7656     -42
   700   1980     1923       1930      1930.9531     -42
   701   1982     1923       1931      1931.1406     -42
   702   1984     1923       1931      1931.3438     -42
   703   1986     1923       1931      1931.5469     -42
   704   1860     1923       1931      1931.2656      81
   705   1862     1923       1930      1930.9844      81
   706   1864     1923       1930      1930.7188      81
   707   1866     1923       1930      1930.4531      81
   708   1868     1923       1930      1930.2031      86
   709   1870     1923       1929      1929.9531      86
   710   1872     1923       1929      1929.7188      86
   711   1874     1923       1929      1929.5000      86
   712   1876     1923       1929      1929.2812      86
   713   1878     1923       1929      1929.0781      86
   714   1880     1923       1928      1928.8750      86
   715   1882     1923       1928      1928.6875      87
   716   1884     1923       1928      1928.5000      87
   717   1886     1923       1928      1928.3281      87
   718   1888     1923       1928      1928.1562      87
   719   1890     1923       1928      1928.0000      87
   720   1892     1923       1927      1927.8594      87
   721   1894     1923       1927      1927.7188      87
   722   1896     1923       1927      1927.5938      84
   723   1898     1923       1927      1927.4688      84
   724   1900     1923       1927      1927.3594      84
   725   1902     1923       1927      1927.2500      84
   726   1904     1923       1927      1927.1562      84
   727   1906     1923       1927      1927.0625      84
   728   1908     1923       1926      1926.9844      84
   729   1910     1923       1926      1926.9062      84
   730   1912     1923       1926      1926.8438      85
   731   1914     1923       1926      1926.7812      85
   732   1916     1923       1926      1926.7344      85
   733   1918     1923       1926      1926.6875      85
   734   1920     1923       1926      1926.6562      85
   735   1922     1923       1926      1926.6250      85
   736   1924     1923       1926      1926.6094      85
   737   1926     1923       1926      1926.5938     -43
   738   1928     1923       1926      1926.5938     -43
   739   1930     1923       1926      1926.5938     -43
   740   1932     1923       1926      1926.6094     -43
   741   1934     1923       1926      1926.6250     -43
   742   1936     1923       1926      1926.6562     -43
   743   1938     1923       1926      1926.6875     -43
   744   1940     1923       1926      1926.7344     -43
   745   1942     1923       1926      1926.7812     -44
   746   1944     1923       1926      1926.8438     -44
   747   1946     1923       1926      1926.9062     -44
   748   1948     1923       1926      1926.9844     -44
   749   1950     1923       1927      1927.0625     -44
   750   1952     1923       1927      1927.1562     -44
   751   1954     1923       1927      1927.2500     -44
   752   1956     1923       1927      1927.3594     -44
   753   1958     1923       1927      1927.4688     -44
   754   1960     1923       1927      1927.5938     -41
   755   1962     1923       1927      1927.7188     -41
   756   1964     1923       1927      1927.8594     -41
   757   1966     1923       1928      1928.0000     -41
   758   1968     1923       1928      1928.1562     -41
   759   1970     1923       1928      1928.3125     -41
   760   1972     1923       1928      1928.4688     -41
   761   1974     1923       1928      1928.6406     -41
   762   1976     1923       1928      1928.8125     -42
   763   1978     1923       1929      1929.0000     -42
   764   1980     1923       1929      1929.1875     -42
   765   1982     1923       1929      1929.3906     -42
   766   1984     1923       1929      1929.5938     -42
   767   1986     1923       1929      1929.8125     -42
   768   1860     1923       1929      1929.5312      81
   769   1862     1923       1929      1929.2656      81
   770   1864     1923       1929      1929.0000      81
   771   1866     1923       1928      1928.7500      86
   772   1868     1923       1928      1928.5000      86
   773   1870     1923       1928      1928.2656      86
   774   1872     1923       1928      1928.0312      86
   775   1874     1923       1927      1927.8125      86
   776   1876     1923       1927      1927.6094      86
   777   1878     1923       1927      1927.4062      86
   778   1880     1923       1927      1927.2188      87
   779   1882     1923       1927      1927.0312      87
   780   1884     1923       1926      1926.8594      87
   781   1886     1923       1926      1926.6875      87
   782   1888     1923       1926      1926.5312      87
   783   1890     1923       1926      1926.3750      87
   784   1892     1923       1926      1926.2344      87
   785   1894     1923       1926      1926.0938      87
   786   1896     1923       1925      1925.9688      84
   787   1898     1923       1925      1925.8594      84
   788   1900     1923       1925      1925.7500      84
   789   1902     1923       1925      1925.6562      84
   790   1904     1923       1925      1925.5625      84
   791   1906     1923       1925      1925.4844      84
   792   1908     1923       1925      1925.4062      84
   793   1910     1923       1925      1925.3438      85
   794   1912     1923       1925      1925.2812      85
   795   1914     1923       1925      1925.2344      85
   796   1916     1923       1925      1925.1875      85
   797   1918     1923       1925      1925.1562      85
   798   1920     1923       1925      1925.1250      85
   799   1922     1923       1925      1925.1094      85
   800   1924     1923       1925      1925.0938      85
   801   1926     1923       1925      1925.0938     -43
   802   1928     1923       1925      1925.0938     -43
   803   1930     1923       1925      1925.1094     -43
   804   1932     1923       1925      1925.1250     -43
   805   1934     1923       1925      1925.1562     -43
   806   1936     1923       1925      1925.1875     -43
   807   1938     1923       1925      1925.2344     -43
   808   1940     1923       1925      1925.2812     -43
   809   1942     1923       1925      1925.3438     -44
   810   1944     1923       1925      1925.4062     -44
   811   1946     1923       1925      1925.4844     -44
   812   1948     1923       1925      1925.5625     -44
   813   1950     1923       1925      1925.6562     -44
   814   1952     1923       1925      1925.7500     -44
   815   1954     1923       1925      1925.8594     -44
   816   1956     1923       1925      1925.9688     -44
   817   1958     1923       1926      1926.0938     -41
   818   1960     1923       1926      1926.2188     -41
   819   1962     1923       1926      1926.3438     -41
   820   1964     1923       1926      1926.4844     -41
   821   1966     1923       1926      1926.6250     -41
   822   1968     1923       1926      1926.7812     -41
   823   1970     1923       1926      1926.9375     -41
   824   1972     1923       1927      1927.1094     -41
   825   1974     1923       1927      1927.2812     -41
   826   1976     1923       1927      1927.4688     -42
   827   1978     1923       1927      1927.6562     -42
   828   1980     1923       1927      1927.8594     -42
   829   1982     1923       1928      1928.0625     -42
   830   1984     1923       1928      1928.2656     -42
   831   1986     1923       1928      1928.4844     -42
   832   1860     1923       1928      1928.2031      81
   833   1862     1923       1927      1927.9375      81
   834   1864     1923       1927      1927.6875      86
   835   1866     1923       1927      1927.4375      86
   836   1868     1923       1927      1927.2031      86
   837   1870     1923       1926      1926.9688      86
   838   1872     1923       1926      1926.7500      86
   839   1874     1923       1926      1926.5312      86
   840   1876     1923       1926      1926.3281      86
   841   1878     1923       1926      1926.1250      86
   842   1880     1923       1925      1925.9375      87
   843   1882     1923       1925      1925.7656      87
   844   1884     1923       1925      1925.5938      87
   845   1886     1923       1925      1925.4375      87
   846   1888     1923       1925      1925.2812      87
   847   1890     1923       1925      1925.1406      87
   848   1892     1923       1925      1925.0000      87
   849   1894     1923       1924      1924.8750      84
   850   1896     1923       1924      1924.7500      84
   851   1898     1923       1924      1924.6406      84
   852   1900     1923       1924      1924.5312      84
   853   1902     1923       1924      1924.4375      84
   854   1904     1923       1924      1924.3438      84
   855   1906     1923       1924      1924.2656      84
   856   1908     1923       1924      1924.1875      84
   857   1910     1923       1924      1924.1250      85
   858   1912     1923       1924      1924.0625      85
   859   1914     1923       1924      1924.0156      85
   860   1916     1923       1923      1923.9688      85
   861   1918     1923       1923      1923.9375      85
   862   1920     1923       1923      1923.9219      85
   863   1922     1923       1923      1923.9062      85
   864   1924     1923       1923      1923.9062     -43
   865   1926     1923       1923      1923.9062     -43
   866   1928     1923       1923      1923.9219     -43
   867   1930     1923       1923      1923.9375     -43
   868   1932     1923       1923      1923.9688     -43
   869   1934     1923       1924      1924.0000     -43
   870   1936     1923       1924      1924.0469     -43
   871   1938     1923       1924      1924.0938     -43
   872   1940     1923       1924      1924.1406     -44
   873   1942     1923       1924      1924.2031     -44
   874   1944     1923       1924      1924.2656     -44
   875   1946     1923       1924      1924.3438     -44
   876   1948     1923       1924      1924.4219     -44
   877   1950     1923       1924      1924.5156     -44
   878   1952     1923       1924      1924.6094     -44
   879   1954     1923       1924      1924.7188     -44
   880   1956     1923       1924      1924.8281     -41
   881   1958     1923       1924      1924.9531     -41
   882   1960     1923       1925      1925.0781     -41
   883   1962     1923       1925      1925.2188     -41
   884   1964     1923       1925      1925.3594     -41
   885   1966     1923       1925      1925.5156     -41
   886   1968     1923       1925      1925.6719     -41
   887   1970     1923       1925      1925.8438     -41
   888   1972     1923       1926      1926.0156     -41
   889   1974     1923       1926      1926.1875     -42
   890   1976     1923       1926      1926.3750     -42
   891   1978     1923       1926      1926.5625     -42
   892   1980     1923       1926      1926.7656     -42
   893   1982     1923       1926      1926.9688     -42
   894   1984     1923       1927      1927.1875     -42
   895   1986     1923       1927      1927.4062     -42
   896   1860     1923       1927      1927.1406      81
   897   1862     1923       1926      1926.8750      81
   898   1864     1923       1926      1926.6250      86
   899   1866     1923       1926      1926.3750      86
   900   1868     1923       1926      1926.1406      86
   901   1870     1923       1925      1925.9062      86
   902   1872     1923       1925      1925.6875      86
   903   1874     1923       1925      1925.4844      86
   904   1876     1923       1925      1925.2812      86
   905   1878     1923       1925      1925.0938      87
   906   1880     1923       1924      1924.9062      87
   907   1882     1923       1924      1924.7344      87
   908   1884     1923       1924      1924.5625      87
   909   1886     1923       1924      1924.4062      87
   910   1888     1923       1924      1924.2500      87
   911   1890     1923       1924      1924.1094      87
   912   1892     1923       1923      1923.9688      84
   913   1894     1923       1923      1923.8438      84
   914   1896     1923       1923      1923.7344      84
   915   1898     1923       1923      1923.6250      84
   916   1900     1923       1923      1923.5312      84
   917   1902     1923       1923      1923.4375      84
   918   1904     1923       1923      1923.3594      84
   919   1906     1923       1923      1923.2812      84
   920   1908     1923       1923      1923.2188      85
   921   1910     1923       1923      1923.1562      85
   922   1912     1923       1923      1923.1094      85
   923   1914     1923       1923      1923.0625      85
   924   1916     1923       1923      1923.0312      85
   925   1918     1923       1923      1923.0000      85
   926   1920     1923       1922      1922.9844      85
   927   1922     1923       1922      1922.9688     -43
   928   1924     1923       1922      1922.9688     -43
   929   1926     1923       1922      1922.9688     -43
   930   1928     1923       1922      1922.9844     -43
   931   1930     1923       1923      1923.0000     -43
   932   1932     1923       1923      1923.0312     -43
   933   1934     1923       1923      1923.0625     -43
   934   1936     1923       1923      1923.1094     -43
   935   1938     1923       1923      1923.1562     -43
   936   1940     1923       1923      1923.2188     -44
   937   1942     1923       1923      1923.2812     -44
   938   1944     1923       1923      1923.3594     -44
   939   1946     1923       1923      1923.4375     -44
   940   1948     1923       1923      1923.5312     -44
   941   1950     1923       1923      1923.6250     -44
   942   1952     1923       1923      1923.7344     -44
   943   1954     1923       1923      1923.8438     -44
   944   1956     1923       1923      1923.9688     -41
   945   1958     1923       1924      1924.0938     -41
   946   1960     1923       1924      1924.2188     -41
   947   1962     1923       1924      1924.3594     -41
   948   1964     1923       1924      1924.5000     -41
   949   1966     1923       1924      1924.6562     -41
   950   1968     1923       1924      1924.8125     -41
   951   1970     1923       1924      1924.9844     -41
   952   1972     1923       1925      1925.1562     -41
   953   1974     1923       1925      1925.3438     -42
   954   1976     1923       1925      1925.5312     -42
   955   1978     1923       1925      1925.7344     -42
   956   1980     1923       1925      1925.9375     -42
   957   1982     1923       1926      1926.1562     -42
   958   1984     1923       1926      1926.3750     -42
   959   1986     1923       1926      1926.5938     -42
   960   1860     1923       1926      1926.3281      81
   961   1862     1923       1926      1926.0625      81
   962   1864     1923       1925      1925.8125      86
   963   1866     1923       1925      1925.5781      86
   964   1868     1923       1925      1925.3438      86
   965   1870     1923       1925      1925.1250      86
   966   1872     1923       1924      1924.9062      86
   967   1874     1923       1924      1924.7031      86
   968   1876     1923       1924      1924.5000      86
   969   1878     1923       1924      1924.3125      87
   970   1880     1923       1924      1924.1250      87
   971   1882     1923       1923      1923.9531      87
   972   1884     1923       1923      1923.7969      87
   973   1886     1923       1923      1923.6406      87
   974   1888     1923       1923      1923.5000      87
   975   1890     1923       1923      1923.3594      87
   976   1892     1923       1923      1923.2344      84
   977   1894     1923       1923      1923.1094      84
   978   1896     1923       1923      1923.0000      84
   979   1898     1923       1922      1922.8906      84
   980   1900     1923       1922      1922.7969      84
   981   1902     1923       1922      1922.7031      84
   982   1904     1923       1922      1922.6250      84
   983   1906     1923       1922      1922.5469      84
   984   1908     1923       1922      1922.4844      85
   985   1910     1923       1922      1922.4219      85
   986   1912     1923       1922      1922.3750      85
   987   1914     1923       1922      1922.3281      85
   988   1916     1923       1922      1922.2969      85
   989   1918     1923       1922      1922.2656      85
   990   1920     1923       1922      1922.2500      85
   991   1922     1923       1922      1922.2344     -43
   992   1924     1923       1922      1922.2344     -43
   993   1926     1923       1922      1922.2344     -43
   994   1928     1923       1922      1922.2500     -43
   995   1930     1923       1922      1922.2656     -43
   996   1932     1923       1922      1922.2969     -43
   997   1934     1923       1922      1922.3281     -43
   998   1936     1923       1922      1922.3750     -43
   999   1938     1923       1922      1922.4219     -44

