
============================================================
compandit library quikie program
M. A. Chatterjee (c) 2012

These routines were developed for use on embedded projects
for more info see the accompanying compand.txt

 index   wave  actDCbias  calcDCbias  calcDCbias(f) alaw
   155   1914     1923       1987      1987.2656      81
   156   1916     1923       1986      1986.9844      81
   157   1918     1923       1986      1986.7031      81
   158   1920     1923       1986      1986.4375      81
   159   1922     1923       1986      1986.1719      81
   160   1924     1923       1985      1985.9219      86
   161   1926     1923       1985      1985.6875      86
   162   1928     1923       1985      1985.4531      86
   163   1930     1923       1985      1985.2344      86
   164   1932     1923       1985      1985.0156      86
   165   1934     1923       1984      1984.8125      86
   166   1936     1923       1984      1984.6094      86
   167   1938     1923       1984      1984.4219      87
   168   1940     1923       1984      1984.2344      87
   169   1942     1923       1984      1984.0625      87
   170   1944     1923       1983      1983.8906      87
   171   1946     1923       1983      1983.7344      87
   172   1948     1923       1983      1983.5938      87
   173   1950     1923       1983      1983.4531      87
   174   1952     1923       1983      1983.3281      84
   175   1954     1923       1983      1983.2031      84
   176   1956     1923       1983      1983.0938      84
   177   1958     1923       1982      1982.9844      84
   178   1960     1923       1982      1982.8906      84
   179   1962     1923       1982      1982.7969      84
   180   1964     1923       1982      1982.7188      84
   181   1966     1923       1982      1982.6406      84
   182   1968     1923       1982      1982.5781      85
   183   1970     1923       1982      1982.5156      85
   184   1972     1923       1982      1982.4688      85
   185   1974     1923       1982      1982.4219      85
   186   1976     1923       1982      1982.3906      85
   187   1978     1923       1982      1982.3594      85
   188   1980     1923       1982      1982.3438      85
   189   1982     1923       1982      1982.3281     -43
   190   1984     1923       1982      1982.3281     -43
   191   1986     1923       1982      1982.3281     -43
   192   1860     1923       1981      1981.8438      82
   193   1862     1923       1981      1981.3750      82
   194   1864     1923       1980      1980.9062      82
   195   1866     1923       1980      1980.4531      82
   196   1868     1923       1980      1980.0000      82
   197   1870     1923       1979      1979.5625      83
   198   1872     1923       1979      1979.1406      83
   199   1874     1923       1978      1978.7188      83
   200   1876     1923       1978      1978.3125      83
   201   1878     1923       1977      1977.9062      83
   202   1880     1923       1977      1977.5156      83
   203   1882     1923       1977      1977.1406      80
   204   1884     1923       1976      1976.7656      80
   205   1886     1923       1976      1976.4062      80
   206   1888     1923       1976      1976.0469      80
   207   1890     1923       1975      1975.7031      80
   208   1892     1923       1975      1975.3750      80
   209   1894     1923       1975      1975.0469      80
   210   1896     1923       1974      1974.7344      81
   211   1898     1923       1974      1974.4219      81
   212   1900     1923       1974      1974.1250      81
   213   1902     1923       1973      1973.8281      81
   214   1904     1923       1973      1973.5469      81
   215   1906     1923       1973      1973.2812      81
   216   1908     1923       1973      1973.0156      81
   217   1910     1923       1972      1972.7656      86
   218   1912     1923       1972      1972.5156      86
   219   1914     1923       1972      1972.2812      86
   220   1916     1923       1972      1972.0469      86
   221   1918     1923       1971      1971.8281      86
   222   1920     1923       1971      1971.6250      86
   223   1922     1923       1971      1971.4219      86
   224   1924     1923       1971      1971.2344      87
   225   1926     1923       1971      1971.0469      87
   226   1928     1923       1970      1970.8750      87
   227   1930     1923       1970      1970.7031      87
   228   1932     1923       1970      1970.5469      87
   229   1934     1923       1970      1970.3906      87
   230   1936     1923       1970      1970.2500      87
   231   1938     1923       1970      1970.1094      87
   232   1940     1923       1969      1969.9844      84
   233   1942     1923       1969      1969.8750      84
   234   1944     1923       1969      1969.7656      84
   235   1946     1923       1969      1969.6719      84
   236   1948     1923       1969      1969.5781      84
   237   1950     1923       1969      1969.5000      84
   238   1952     1923       1969      1969.4219      84
   239   1954     1923       1969      1969.3594      85
   240   1956     1923       1969      1969.2969      85
   241   1958     1923       1969      1969.2500      85
   242   1960     1923       1969      1969.2031      85
   243   1962     1923       1969      1969.1719      85
   244   1964     1923       1969      1969.1406      85
   245   1966     1923       1969      1969.1250      85
   246   1968     1923       1969      1969.1094      85
   247   1970     1923       1969      1969.1094     -43
   248   1972     1923       1969      1969.1094     -43
   249   1974     1923       1969      1969.1250     -43
   250   1976     1923       1969      1969.1406     -43
   251   1978     1923       1969      1969.1719     -43
   252   1980     1923       1969      1969.2031     -43
   253   1982     1923       1969      1969.2500     -43
   254   1984     1923       1969      1969.2969     -43
   255   1986     1923       1969      1969.3594     -44
   256   1860     1923       1968      1968.9219      83
   257   1862     1923       1968      1968.5000      83
   258   1864     1923       1968      1968.0781      83
   259   1866     1923       1967      1967.6719      83
   260   1868     1923       1967      1967.2812      83
   261   1870     1923       1966      1966.8906      83
   262   1872     1923       1966      1966.5156      80
   263   1874     1923       1966      1966.1406      80
   264   1876     1923       1965      1965.7812      80
   265   1878     1923       1965      1965.4375      80
   266   1880     1923       1965      1965.0938      80
   267   1882     1923       1964      1964.7656      80
   268   1884     1923       1964      1964.4375      80
   269   1886     1923       1964      1964.1250      81
   270   1888     1923       1963      1963.8125      81
   271   1890     1923       1963      1963.5156      81
   272   1892     1923       1963      1963.2344      81
   273   1894     1923       1962      1962.9531      81
   274   1896     1923       1962      1962.6875      81
   275   1898     1923       1962      1962.4219      81
   276   1900     1923       1962      1962.1719      86
   277   1902     1923       1961      1961.9219      86
   278   1904     1923       1961      1961.6875      86
   279   1906     1923       1961      1961.4688      86
